"","row","column","cor","p"
"343","tree.100m","fire2016.date",0.882013104635375,0.000327821014029395
"344","tree.250m","fire2016.date",0.881306575028729,0.000336391659411017
"345","tree.500m","fire2016.date",0.880836283011628,0.000342190109316576
"346","tree.1km","fire2016.date",0.833277156974513,0.00144332687418358
"347","termites.100m","fire2016.date",0.294478668177475,0.379382634157182
"348","termites.250m","fire2016.date",0.530074280187224,0.0934943606879688
"349","termites.500m","fire2016.date",0.77205134784442,0.00536510965557824
"350","termites.1km","fire2016.date",0.724847183396637,0.0116154815538698
"351","fire2015.date","fire2016.date",0.584800217688618,0.127846412307149
"352","Longitude.UTM","fire2017.date",0.900956038946018,2.63395132864552e-05
"353","Latitude.UTM","fire2017.date",-0.357188040735587,0.230866613205564
"354","cover.ground","fire2017.date",-0.321306259991522,0.284406970604982
"355","termite.count.100m","fire2017.date",0.730501098495009,0.00457009971261635
"356","termite.count.50m","fire2017.date",0.251864478592134,0.406472642741869
"357","termite.large.count.100m","fire2017.date",0.507359333837236,0.0767619707281839
"358","termite.large.count.50m","fire2017.date",-0.123753861978477,0.687098415740696
"359","habitat.number","fire2017.date",0.249142095561877,0.4117337075204
"360","fire.interval","fire2017.date",-0.3965777199171,0.179720953986633
"361","poaching.all","fire2017.date",-0.528745915455806,0.0631985421936405
"362","poaching.high","fire2017.date",-0.528745915455806,0.0631985421936405
"363","boundary.distance","fire2017.date",0.867022924232689,0.000124439457179104
"364","road.distance","fire2017.date",-0.284163857659124,0.346740190230623
"365","road.major.distance","fire2017.date",-0.115370009339692,0.707425446607423
"366","urema.distance","fire2017.date",-0.755263161963208,0.00283404993421077
"367","pan.distance","fire2017.date",-0.0533130010884692,0.862670868384416
"368","river.distance","fire2017.date",-0.539635189270992,0.0569866895290572
"369","tree.100m","fire2017.date",0.632222689659644,0.0204236077148581
"370","tree.250m","fire2017.date",0.611796848934553,0.0262747567656494
"371","tree.500m","fire2017.date",0.590131306729134,0.0337422336081055
"372","tree.1km","fire2017.date",0.56773170546669,0.042979695001228
"373","termites.100m","fire2017.date",-0.00244217870280802,0.993682385917155
"374","termites.250m","fire2017.date",0.30628161818735,0.308784639861168
"375","termites.500m","fire2017.date",0.20864992366548,0.493920926670751
"376","termites.1km","fire2017.date",0.486807911495047,0.0915898204135686
"377","fire2015.date","fire2017.date",0.93059694710203,0.000270824413670656
"378","fire2016.date","fire2017.date",-0.40581708972919,0.424690868481862
"379","Longitude.UTM","pans.100m",0.107150684842211,0.415143357590202
"380","Latitude.UTM","pans.100m",0.226721378431538,0.0815090935494602
"381","cover.ground","pans.100m",0.291162030167943,0.0240060233180435
"382","termite.count.100m","pans.100m",-0.0977390429817318,0.45751870214145
"383","termite.count.50m","pans.100m",-0.136781042975915,0.297355372264162
"384","termite.large.count.100m","pans.100m",-0.0873744426287368,0.506796763565602
"385","termite.large.count.50m","pans.100m",-0.124487904196324,0.343288400730296
"386","habitat.number","pans.100m",-0.217517021275385,0.0950199756817116
"387","fire.interval","pans.100m",-0.153931207848715,0.240283633692805
"388","poaching.all","pans.100m",-0.0262894864910661,0.841959107946063
"389","poaching.high","pans.100m",-0.0409139019501463,0.756271219506348
"390","boundary.distance","pans.100m",0.254428571920087,0.049791304718906
"391","road.distance","pans.100m",-0.115111813681221,0.381132332078983
"392","road.major.distance","pans.100m",-0.151135059181496,0.249035020717951
"393","urema.distance","pans.100m",-0.269041459664584,0.0376501592567777
"394","pan.distance","pans.100m",-0.209646225978836,0.107906590046334
"395","river.distance","pans.100m",-0.211326755107328,0.105047820868897
"396","tree.100m","pans.100m",-0.122108439283997,0.352663492485313
"397","tree.250m","pans.100m",-0.198704393128281,0.128008740797611
"398","tree.500m","pans.100m",-0.169580556278137,0.195203599670724
"399","tree.1km","pans.100m",-0.252693607040243,0.051424339269218
"400","termites.100m","pans.100m",0.154327430430438,0.23906082660246
"401","termites.250m","pans.100m",-0.0311972895117987,0.812945933735223
"402","termites.500m","pans.100m",0.0143864965742441,0.913124184540761
"403","termites.1km","pans.100m",-0.166727538281812,0.202935678601979
"404","fire2015.date","pans.100m",0.159613785546578,0.436062346618467
"405","fire2016.date","pans.100m",-0.368765498039846,0.264423196641647
"406","fire2017.date","pans.100m",-0.0533500984775989,0.862576123369926
"407","Longitude.UTM","pans.250m",0.140337812268129,0.284849690702718
"408","Latitude.UTM","pans.250m",0.255383501324714,0.0489107035236187
"409","cover.ground","pans.250m",0.27074785239622,0.0364080444364463
"410","termite.count.100m","pans.250m",-0.141893079550197,0.27949184732844
"411","termite.count.50m","pans.250m",-0.157086920111404,0.230663151003065
